video_id,url,mp4,title,channel,duration_seconds,view_count,published,query,source,thumbnail,matched_keywords,rejected_reason,collected_at
fIzfQJhj86Q,https://www.youtube.com/watch?v=fIzfQJhj86Q,https://www.youtube.com/watch?v=fIzfQJhj86Q,DJI FPV MAX SPEED 140 km/h vs TRAIN - UNCUT FLIGHT[M-MODE] || DJI ACTION2 FOOTAGE[2.7K] FPV THAILAND,ACTIVE FPV,502,3251521,2022-10-26T20:26:47Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/fIzfQJhj86Q/hqdefault.jpg,fpv,,2026-05-23T13:49:56.151426+00:00
13OtZFWdhwQ,https://www.youtube.com/watch?v=13OtZFWdhwQ,https://www.youtube.com/watch?v=13OtZFWdhwQ,World's Best FPV Drone Shot? (Extreme Mountain Biking),Red Bull,654,7826929,2022-04-21T14:00:01Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/13OtZFWdhwQ/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
C83FnY5cRMU,https://www.youtube.com/watch?v=C83FnY5cRMU,https://www.youtube.com/watch?v=C83FnY5cRMU,Mountain Flying 🏔 | Cinematic FPV Drone (🎥: IG / tinexd_ftw),Drone Racing League,15,62452,2023-11-30T01:00:05Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/C83FnY5cRMU/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
M2isYK3ARCU,https://www.youtube.com/watch?v=M2isYK3ARCU,https://www.youtube.com/watch?v=M2isYK3ARCU,Diving Down The Mountain Like 🔀 | Cinematic FPV Drone Fly (🎥: IG / timothy_fpv),Drone Racing League,12,63787,2024-01-12T23:00:19Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/M2isYK3ARCU/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
-rzRGR5CYro,https://www.youtube.com/watch?v=-rzRGR5CYro,https://www.youtube.com/watch?v=-rzRGR5CYro,"FPV Drone extrem long range | From Chamonix (1030m) to Aiguille du midi (3842m), French Alp | 4K",Romano FPV,596,655067,2024-10-06T22:38:44Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/-rzRGR5CYro/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
InXSW569ElA,https://www.youtube.com/watch?v=InXSW569ElA,https://www.youtube.com/watch?v=InXSW569ElA,DJI AVATA 2 - The FPV drone without limits | Cinematic trailer,fabreezy,159,901538,2024-04-11T13:01:59Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/InXSW569ElA/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
8jT9ygmMvMg,https://www.youtube.com/watch?v=8jT9ygmMvMg,https://www.youtube.com/watch?v=8jT9ygmMvMg,VENICE | Cinematic FPV,Joshua Turner,114,934815,2022-10-22T00:03:11Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/8jT9ygmMvMg/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
Ga3MMFcnmY0,https://www.youtube.com/watch?v=Ga3MMFcnmY0,https://www.youtube.com/watch?v=Ga3MMFcnmY0,Tallest Chimney Dive in FPV Drone History | FPV FREESTYLE,ItsJackFPV,16,52997556,2023-10-27T11:58:44Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/Ga3MMFcnmY0/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
imlB-79HRx8,https://www.youtube.com/watch?v=imlB-79HRx8,https://www.youtube.com/watch?v=imlB-79HRx8,Summiting the Matterhorn with an FPV Drone,NORTHSIDE,185,7646,2026-02-04T10:27:43Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/imlB-79HRx8/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
kddVKHFSUAw,https://www.youtube.com/watch?v=kddVKHFSUAw,https://www.youtube.com/watch?v=kddVKHFSUAw,Exploring the Dolomites l Award winning Cinematic FPV video,David Zalka,211,71220,2021-08-15T18:30:37Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/kddVKHFSUAw/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
ZtxBrd4bcjA,https://www.youtube.com/watch?v=ZtxBrd4bcjA,https://www.youtube.com/watch?v=ZtxBrd4bcjA,Around The World 🌎 | FPV Drone Freestyle (🎥: IG / lumpyfpv),Drone Racing League,13,2451347,2024-02-25T12:00:37Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/ZtxBrd4bcjA/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
Bh1NtKktdh0,https://www.youtube.com/watch?v=Bh1NtKktdh0,https://www.youtube.com/watch?v=Bh1NtKktdh0,Why the DJI Avata 2 is the Best FPV Drone Ever!,Kyle Krueger,60,2136312,2024-07-03T00:16:09Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/Bh1NtKktdh0/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
f_A440qj3SE,https://www.youtube.com/watch?v=f_A440qj3SE,https://www.youtube.com/watch?v=f_A440qj3SE,Roof Divin' | FPV Drone Freestyle (🎥: IG / nils.vo),Drone Racing League,15,3356033,2023-03-22T00:10:40Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/f_A440qj3SE/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
_8dccTPJSJs,https://www.youtube.com/watch?v=_8dccTPJSJs,https://www.youtube.com/watch?v=_8dccTPJSJs,Mountain River Dive | Cinematic FPV Drone (🎥: IG / chrissbergan),Drone Racing League,24,536818,2022-10-10T02:17:18Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/_8dccTPJSJs/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
BH9b46Sy7jM,https://www.youtube.com/watch?v=BH9b46Sy7jM,https://www.youtube.com/watch?v=BH9b46Sy7jM,FPV Drone Threads The Needle!,How Ridiculous,30,89439281,2024-06-14T07:19:34Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/BH9b46Sy7jM/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
5kS-vgOurYA,https://www.youtube.com/watch?v=5kS-vgOurYA,https://www.youtube.com/watch?v=5kS-vgOurYA,Dji Fpv Drone Start-up 📦✨ #dji #shorts #shortsfeed #viralshorts #youtubeshorts #foryou #youtube,DJI FLIGHT CLUB,20,1551167,2024-11-16T17:50:11Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/5kS-vgOurYA/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
0pIyIMqwu0E,https://www.youtube.com/watch?v=0pIyIMqwu0E,https://www.youtube.com/watch?v=0pIyIMqwu0E,"29,000 Feet Up Mount Everest with DJI Mavic 3 Pro",DJI,252,9204040,2024-07-10T12:00:01Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/0pIyIMqwu0E/hqdefault.jpg,drone,,2026-05-23T13:49:56.151426+00:00
rmRnw-PzV0U,https://www.youtube.com/watch?v=rmRnw-PzV0U,https://www.youtube.com/watch?v=rmRnw-PzV0U,We Can Teach You 👀 | FPV Drone Freestyle (🎥: IG / togan.fpv),Drone Racing League,11,2934399,2023-05-08T23:37:43Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/rmRnw-PzV0U/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
jf8J6Ayo74w,https://www.youtube.com/watch?v=jf8J6Ayo74w,https://www.youtube.com/watch?v=jf8J6Ayo74w,The Art of FPV Mountain Surfing,PlatyFPV,291,18499,2024-10-12T13:44:20Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/jf8J6Ayo74w/hqdefault.jpg,fpv|landscape,,2026-05-23T13:49:56.151426+00:00
LG_A1pWVwss,https://www.youtube.com/watch?v=LG_A1pWVwss,https://www.youtube.com/watch?v=LG_A1pWVwss,FPV car shoot by @KaiVertigoh with crew: @cesarfpvdrones @jd_prevost  @jon4lakers @FilmedbyFresh,NewBeeDrone,29,647674,2024-06-14T04:15:40Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/LG_A1pWVwss/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
vE3BAgh_VAQ,https://www.youtube.com/watch?v=vE3BAgh_VAQ,https://www.youtube.com/watch?v=vE3BAgh_VAQ,Flying over American Cities 8K Ultra HD Drone Video,8K VIDEOS HDR,1210,3668277,2021-09-04T09:59:59Z,drone city flyover 4k,youtube_data_api_search,https://i.ytimg.com/vi/vE3BAgh_VAQ/hqdefault.jpg,drone,,2026-05-23T13:49:56.151426+00:00
sHACoYvBLR8,https://www.youtube.com/watch?v=sHACoYvBLR8,https://www.youtube.com/watch?v=sHACoYvBLR8,Cleveland 4K Drone Flyover,UrbanOhio.com,188,3152,2025-10-19T00:53:27Z,drone city flyover 4k,youtube_data_api_search,https://i.ytimg.com/vi/sHACoYvBLR8/hqdefault.jpg,drone|flyover,,2026-05-23T13:49:56.151426+00:00
_DJb5HjeDkQ,https://www.youtube.com/watch?v=_DJb5HjeDkQ,https://www.youtube.com/watch?v=_DJb5HjeDkQ,Megacities in 4K | Cinematic Drone Footage of World Cities,Explore The World 4K,1796,319902,2026-01-27T07:00:27Z,drone city flyover 4k,youtube_data_api_search,https://i.ytimg.com/vi/_DJb5HjeDkQ/hqdefault.jpg,drone|aerial|cinematic,,2026-05-23T13:49:56.151426+00:00
